depth_m,gassiness_degree,open_violations,days_since_last_inspection,ch4_pct,co_ppm,ventilation_velocity_ms,workers_count,equipment_faults,risk_level
191,2,0,7,0.9,22,0.92,74,3,Medium
91,2,1,30,0.32,37,2.64,79,4,High
364,3,7,40,1.66,72,2.07,78,3,High
202,2,7,29,0.43,23,3.24,43,4,High
536,2,4,29,0.27,26,1.12,50,2,High
593,1,2,15,0.18,6,2.77,16,3,Medium
457,1,7,27,0.05,28,1.77,82,5,High
60,3,12,37,1.09,15,3.6,46,3,High
469,1,11,35,0.36,9,2.01,42,3,High
537,1,5,43,0.31,14,2.83,67,1,Medium
586,1,6,38,0.26,2,0.59,62,1,High
512,1,4,25,0.16,16,1.44,56,2,Low
471,1,1,31,0.03,19,0.48,52,1,High
110,2,10,3,0.88,23,1.0,10,4,High
196,1,7,43,0.07,8,1.93,40,2,Medium
211,2,11,8,0.9,18,3.68,21,4,High
66,3,9,44,1.78,39,1.69,33,0,High
646,2,10,16,0.29,27,3.28,84,0,High
619,2,5,35,0.59,31,0.54,90,2,High
52,3,7,7,1.16,38,2.52,66,5,High
196,1,11,34,0.44,10,2.46,76,3,High
516,1,11,38,0.14,9,3.21,19,2,High
501,1,7,37,0.28,14,1.48,71,2,High
226,1,5,17,0.17,21,2.75,43,4,Medium
50,1,3,6,0.12,15,2.01,38,5,Medium
527,2,7,29,0.91,13,1.33,59,5,High
289,1,9,24,0.22,18,1.5,78,2,Medium
400,2,4,20,0.43,15,2.82,48,0,Low
588,3,11,12,0.85,62,1.99,83,4,High
329,3,3,19,0.9,26,1.36,76,1,Medium
320,1,0,36,0.15,6,2.53,70,0,Low
52,2,7,31,0.6,19,3.68,40,3,High
156,3,6,32,0.7,55,2.7,27,1,High
616,3,1,16,0.75,63,1.76,84,4,High
271,2,6,29,1.02,27,3.31,62,2,High
622,2,9,7,1.05,21,2.49,41,5,High
123,1,2,36,0.05,2,1.73,84,3,Medium
338,1,4,19,0.32,16,0.55,37,2,Low
643,2,3,28,0.3,22,2.57,42,1,Medium
113,1,12,20,0.28,28,2.29,44,3,High
167,1,4,45,0.19,10,2.05,71,3,Medium
122,2,6,21,0.74,9,0.62,94,4,High
641,3,12,44,1.67,51,0.44,30,3,High
571,2,4,12,1.1,35,2.52,70,0,High
521,1,5,21,0.31,7,1.45,71,2,Low
450,3,8,3,1.19,35,1.18,22,3,High
566,3,0,43,1.73,44,1.75,32,4,High
410,2,7,41,0.6,11,1.01,78,1,High
334,1,11,32,0.07,22,2.43,38,5,High
202,1,0,36,0.2,9,3.77,22,3,Medium
160,2,2,32,1.04,26,2.08,42,3,High
534,3,3,30,1.32,39,0.97,84,4,High
179,3,4,27,1.04,65,2.08,8,2,High
345,3,9,43,1.24,24,1.86,69,2,High
380,2,8,25,0.61,28,3.34,38,4,High
432,1,12,27,0.04,25,1.96,56,3,High
195,1,0,9,0.24,20,1.46,20,3,Low
142,1,7,1,0.33,15,3.35,27,0,Medium
520,2,4,22,0.76,33,2.57,50,5,High
586,1,5,41,0.33,26,2.01,77,0,High
110,1,10,19,0.45,25,0.62,20,5,High
142,1,11,20,0.41,3,1.44,15,2,Medium
407,1,2,16,0.25,20,2.69,31,1,Low
219,1,6,40,0.31,17,3.49,26,1,Medium
512,2,7,17,0.8,37,3.45,94,4,High
201,1,5,38,0.15,15,2.72,66,2,Medium
243,3,7,7,0.91,51,1.56,45,5,High
342,1,10,26,0.14,20,3.33,14,4,High
548,3,4,15,1.39,37,1.07,32,4,High
296,2,11,43,0.81,16,2.5,88,5,High
80,1,7,3,0.27,25,0.76,45,2,High
465,1,2,35,0.4,13,2.16,42,1,Medium
303,3,7,19,1.57,36,3.11,67,0,High
184,2,3,44,0.85,33,3.69,79,2,High
132,2,0,17,0.68,37,1.59,94,2,Low
638,1,10,24,0.07,9,1.95,87,4,High
375,3,3,42,0.68,67,1.92,46,5,High
458,1,0,3,0.15,17,0.71,38,4,Medium
178,1,5,43,0.43,24,3.61,61,4,Medium
198,3,10,7,1.68,54,1.73,43,0,High
419,1,7,16,0.39,5,3.73,55,4,High
407,1,4,13,0.44,28,1.89,92,1,Medium
61,1,5,16,0.45,27,2.28,16,4,Medium
252,2,3,22,0.9,8,1.27,26,1,Medium
593,1,2,8,0.3,2,0.76,53,1,Low
642,1,2,17,0.04,25,1.77,22,5,Medium
105,1,12,24,0.24,5,1.88,36,4,Medium
84,2,10,34,0.47,9,0.51,69,3,High
476,2,7,29,0.27,13,1.43,26,0,High
169,1,10,38,0.26,12,1.63,84,4,High
341,1,9,28,0.06,24,0.7,91,5,High
604,2,3,28,0.61,22,1.75,66,3,High
465,2,5,28,0.48,24,1.61,27,5,High
525,1,1,6,0.21,25,2.89,24,4,Medium
101,2,8,36,0.5,15,1.74,93,3,High
92,3,9,20,1.06,51,2.08,27,5,High
533,1,1,23,0.38,13,0.7,43,4,Medium
271,3,8,40,1.4,56,2.25,85,5,High
313,1,4,45,0.35,12,1.53,31,1,Medium
619,2,1,10,0.87,9,0.62,75,1,Medium
425,1,5,11,0.18,25,1.44,80,4,High
126,3,2,11,1.58,18,2.66,42,3,High
474,1,7,27,0.14,26,2.09,52,3,High
153,1,10,38,0.23,23,1.38,36,3,High
96,1,4,14,0.35,26,1.19,49,0,Medium
47,1,6,12,0.08,19,2.76,72,4,Medium
402,1,11,3,0.21,16,3.52,48,4,High
479,2,11,41,0.58,15,1.72,49,1,High
511,3,5,6,1.17,21,1.15,83,3,High
576,1,4,22,0.12,26,0.89,73,5,High
156,1,3,23,0.17,28,2.56,26,1,Medium
145,1,3,12,0.28,26,2.96,17,1,Medium
545,1,9,38,0.21,20,2.55,87,2,High
363,1,1,31,0.21,11,3.09,83,0,Low
400,1,4,30,0.21,3,1.59,44,0,Medium
132,2,8,25,0.62,43,3.64,13,3,High
625,2,5,39,0.63,17,3.65,65,0,Medium
391,3,1,33,1.44,17,1.17,64,3,High
576,1,2,24,0.18,11,1.66,51,5,Medium
93,2,10,22,0.26,14,2.25,57,2,Medium
298,2,10,39,0.99,29,0.59,92,1,High
398,1,10,45,0.3,6,2.38,18,2,Medium
612,1,12,22,0.37,23,2.76,95,4,High
135,2,6,33,0.53,31,1.38,35,2,High
537,1,2,10,0.05,27,0.65,77,5,High
579,1,5,40,0.08,14,0.84,31,5,High
209,2,0,27,0.53,23,3.69,86,2,Low
499,1,3,20,0.44,27,1.94,32,2,Medium
624,3,7,19,1.61,47,2.15,28,1,High
181,3,0,42,1.22,38,2.24,21,5,High
568,3,4,6,1.59,32,1.87,73,1,High
487,1,3,29,0.4,2,1.75,58,4,High
422,1,1,24,0.12,12,3.56,91,2,Low
189,1,4,31,0.32,6,2.96,68,3,Medium
45,3,0,17,0.88,24,2.22,85,4,Medium
473,1,4,16,0.15,3,1.13,89,4,Medium
508,1,7,39,0.25,22,2.1,38,5,High
187,1,0,40,0.17,20,1.76,93,5,Medium
127,1,5,5,0.43,19,2.08,72,4,Medium
60,1,7,3,0.29,13,1.19,10,2,Medium
109,1,11,43,0.29,26,2.34,50,1,High
85,1,5,42,0.1,26,2.7,69,5,High
226,3,1,30,0.65,27,0.45,33,0,High
363,3,8,26,1.89,49,1.96,12,5,High
235,1,12,4,0.39,12,1.26,55,3,Medium
449,2,6,22,1.08,39,2.72,55,4,High
313,3,11,28,0.7,53,3.78,31,4,High
340,1,1,21,0.3,11,1.86,62,1,Low
494,1,0,23,0.28,15,1.26,15,0,Low
455,1,12,44,0.09,2,0.8,85,5,High
488,1,1,16,0.35,13,1.57,80,0,Low
197,2,5,24,0.6,12,2.31,75,2,Low
447,1,4,16,0.43,2,2.87,71,4,Medium
436,3,1,17,1.61,60,1.86,86,2,High
542,1,2,5,0.21,24,1.86,19,5,Medium
367,2,11,5,0.69,26,3.42,28,5,High
218,2,8,15,0.31,20,3.07,38,3,Medium
66,1,9,24,0.22,19,0.75,19,0,Medium
356,1,11,31,0.25,26,1.73,81,0,High
168,3,10,5,1.18,58,2.11,24,4,High
641,1,2,28,0.24,3,3.21,74,1,Medium
351,1,5,15,0.17,18,3.43,18,2,Low
241,2,8,18,0.31,27,2.45,19,4,High
212,2,9,10,0.35,29,3.25,80,0,Medium
69,1,10,37,0.13,8,2.98,61,4,High
71,1,10,35,0.14,11,1.99,95,3,High
344,1,11,4,0.09,15,1.99,34,2,Medium
187,1,11,21,0.34,13,3.71,24,2,Medium
567,2,5,16,0.62,25,1.87,26,0,Medium
91,1,6,40,0.2,7,3.15,81,5,High
360,1,2,32,0.45,16,2.05,47,3,Medium
63,1,6,33,0.22,9,1.05,53,0,Medium
91,1,9,42,0.31,11,2.18,21,3,High
177,3,11,24,1.59,38,0.46,14,4,High
615,1,8,19,0.05,18,1.88,78,2,Medium
161,1,1,26,0.18,12,2.25,54,1,Low
243,2,6,33,0.24,10,0.78,50,3,High
571,1,9,33,0.08,21,1.41,58,4,High
346,2,8,33,0.68,44,1.35,10,2,High
379,2,6,38,0.48,9,2.39,41,5,High
632,2,11,4,0.73,18,2.13,87,3,High
191,3,3,3,1.34,59,0.68,10,3,High
361,1,6,45,0.11,18,3.01,68,5,High
103,2,8,14,0.7,38,2.14,48,1,Medium
510,3,5,35,1.06,64,3.34,95,5,High
310,2,3,16,0.45,27,1.09,46,2,Medium
252,2,7,21,0.63,43,3.57,43,2,Medium
164,2,8,25,1.01,33,3.16,26,2,High
83,1,11,6,0.17,16,2.6,69,1,Medium
246,3,4,36,1.51,23,0.68,83,1,High
288,1,8,15,0.29,3,0.65,50,5,High
523,1,12,9,0.02,19,3.72,28,3,High
527,1,3,19,0.16,22,0.51,19,5,Medium
627,1,11,3,0.41,7,1.76,30,0,Medium
446,2,2,19,0.99,8,1.34,85,0,Medium
383,1,10,35,0.25,6,3.28,67,2,Medium
237,3,5,11,1.55,56,1.2,31,0,High
385,2,9,44,0.88,19,2.44,89,3,High
477,1,1,26,0.31,7,3.74,69,2,Medium
294,1,6,16,0.21,10,3.64,46,4,Medium
626,1,10,24,0.32,3,2.64,67,2,Medium
203,1,8,20,0.32,22,3.51,45,2,Medium
266,1,2,31,0.09,25,3.76,55,3,High
602,3,12,35,1.64,67,1.06,39,5,High
650,3,1,34,1.18,60,1.57,80,0,High
103,3,8,13,1.34,24,0.88,74,3,High
159,2,11,38,0.64,40,1.86,15,3,High
175,1,7,37,0.04,16,2.65,47,5,High
62,1,0,14,0.27,3,1.78,16,4,Low
101,3,1,31,0.64,41,0.93,25,5,High
470,1,6,29,0.39,14,1.61,95,5,High
592,1,5,8,0.1,19,1.68,24,5,Medium
268,3,12,2,1.87,44,2.66,77,3,High
584,1,3,16,0.22,6,1.26,22,0,Low
469,2,0,16,0.39,14,2.38,65,4,Medium
89,1,0,26,0.21,19,1.06,15,1,Low
555,3,3,37,1.01,53,3.0,49,1,High
349,3,10,34,0.89,34,1.26,79,4,High
219,2,6,36,0.65,30,3.6,93,3,High
577,1,6,27,0.08,14,0.94,76,3,High
286,3,4,10,1.65,73,0.5,60,3,High
610,1,6,16,0.13,12,2.56,65,2,Medium
134,1,3,4,0.14,23,2.42,13,0,Low
232,3,9,43,1.33,45,1.03,50,2,High
55,1,3,8,0.34,26,1.98,39,5,Medium
249,1,3,36,0.16,11,1.63,76,5,Medium
407,1,5,33,0.4,16,0.65,68,2,Medium
248,1,6,3,0.26,9,2.89,10,2,Medium
606,3,9,27,0.98,27,1.45,56,4,High
291,1,10,44,0.17,26,3.18,90,5,High
542,1,11,23,0.09,25,2.21,31,4,High
100,1,1,43,0.04,2,1.74,88,1,Low
109,2,0,14,0.66,31,0.51,89,5,Medium
534,2,0,1,0.68,34,0.34,75,5,High
321,1,4,2,0.24,24,2.66,30,0,Low
138,1,3,13,0.29,10,3.15,42,3,Medium
120,1,6,30,0.26,24,1.09,95,0,Medium
72,1,6,25,0.26,3,2.53,29,0,Medium
551,3,10,22,1.34,69,3.71,75,0,High
275,1,11,37,0.22,3,3.53,95,2,Medium
596,2,0,12,1.04,28,0.35,34,4,High
187,2,11,26,1.04,27,0.87,38,4,High
438,2,8,22,0.55,16,3.07,18,4,High
394,1,6,15,0.38,12,2.42,86,4,Medium
446,3,5,2,1.42,65,3.77,70,1,High
404,2,6,28,0.37,45,2.61,18,4,High
342,2,11,5,0.27,17,1.63,89,1,Medium
438,1,1,6,0.02,11,1.86,42,0,Low
175,1,6,29,0.26,18,1.73,11,0,Medium
402,2,9,39,0.91,32,0.34,60,3,High
126,2,8,16,0.71,18,2.7,29,1,Medium
315,1,7,10,0.05,15,1.27,46,3,Medium
118,1,3,41,0.23,21,0.98,21,1,Medium
351,1,6,22,0.38,14,3.11,50,3,Medium
382,1,10,39,0.08,12,2.41,33,3,High
361,1,6,21,0.15,24,2.52,81,1,Medium
373,1,12,26,0.18,20,1.0,77,1,Medium
603,1,11,30,0.43,8,1.83,45,5,High
110,3,12,27,1.47,23,2.52,38,2,High
197,2,12,25,0.27,38,2.34,76,4,High
468,1,12,24,0.32,27,2.18,89,0,High
151,2,10,43,0.52,10,2.27,90,5,High
449,3,5,28,0.74,21,1.21,73,5,High
571,2,11,37,0.4,31,1.67,94,4,High
552,1,0,31,0.06,15,3.52,18,0,Medium
185,1,5,30,0.36,18,1.99,68,0,Medium
488,2,7,21,0.26,10,3.14,22,0,Medium
391,2,10,11,1.04,23,2.11,78,1,Medium
378,2,7,15,0.92,19,0.95,92,3,High
445,1,9,13,0.21,15,1.66,35,1,Medium
325,2,12,5,0.72,42,0.95,49,1,Medium
508,1,10,32,0.25,22,1.4,57,4,High
441,2,5,23,0.96,19,3.15,46,4,High
644,1,2,21,0.07,11,0.71,55,5,Medium
184,1,6,39,0.08,14,1.78,70,5,High
590,2,10,12,0.7,39,1.31,31,2,High
501,2,5,1,0.64,20,3.15,79,4,Medium
546,1,7,27,0.33,16,2.01,18,4,High
71,2,3,19,0.23,22,2.18,29,3,Medium
619,2,12,32,0.69,15,2.3,42,4,High
415,1,12,3,0.35,16,2.21,62,0,Medium
293,1,0,29,0.13,28,0.6,23,1,Medium
254,3,9,45,1.06,60,2.44,62,1,High
182,2,3,4,0.71,42,1.28,76,1,Medium
371,3,4,19,1.34,75,3.3,94,0,High
178,3,12,27,1.79,32,3.33,24,5,High
175,1,11,21,0.38,26,3.25,58,3,High
185,2,4,41,0.57,36,0.56,19,3,High
567,2,11,24,0.61,39,1.45,8,5,High
135,2,7,41,0.8,30,3.28,76,3,High
263,3,3,32,0.95,68,1.29,78,4,High
173,2,7,22,1.0,11,0.46,88,3,High
56,1,2,29,0.22,15,1.01,24,5,Medium
349,1,4,6,0.3,10,0.59,93,5,Medium
209,1,10,20,0.33,26,1.12,91,0,Medium
137,1,7,5,0.08,9,2.12,64,0,Medium
48,2,1,28,0.82,38,0.55,57,0,High
144,1,5,20,0.08,26,3.15,25,5,Medium
186,1,9,1,0.28,7,1.84,35,5,Medium
195,3,9,44,1.18,28,0.6,20,1,High
166,2,6,23,1.07,28,3.07,39,2,High
126,1,9,39,0.33,11,3.03,11,5,High
348,1,9,33,0.1,14,1.33,14,1,Medium
546,1,3,32,0.29,4,2.15,9,2,Medium
364,1,9,27,0.18,23,0.9,68,0,Medium
57,2,0,17,0.39,11,3.62,58,4,Low
333,2,8,27,0.58,33,0.59,76,4,High
196,1,4,6,0.24,8,3.71,27,4,Medium
374,1,10,42,0.31,4,1.39,63,5,High
284,1,1,28,0.07,21,2.43,47,5,Medium
219,1,11,9,0.32,7,2.04,52,4,Medium
569,2,11,17,0.35,16,2.92,42,5,High
160,2,0,22,0.93,25,2.13,41,5,High
630,2,7,30,0.66,11,2.05,80,1,High
416,1,12,7,0.4,23,2.83,37,5,High
561,1,0,16,0.04,13,1.64,27,1,Low
76,2,11,42,0.58,28,1.17,48,2,High
119,2,1,33,0.81,11,0.93,74,0,Medium
450,1,7,19,0.35,11,1.45,78,3,High
48,1,4,37,0.36,25,2.48,67,2,Medium
645,3,12,13,1.55,49,2.96,39,1,High
46,3,0,15,1.3,55,3.24,9,2,High
41,2,6,20,0.29,41,3.74,61,3,High
101,3,2,18,0.72,73,1.11,74,3,High
421,1,11,6,0.27,18,0.77,58,0,Medium
646,2,6,43,1.07,23,1.32,48,3,High
374,1,4,15,0.05,8,0.78,82,0,Low
199,1,7,30,0.16,5,2.18,34,3,High
355,1,1,6,0.09,23,1.36,85,0,Low
260,3,5,10,0.72,30,3.69,58,4,Medium
90,2,4,12,0.23,33,3.29,79,5,Medium
603,1,7,7,0.37,6,0.73,15,1,Medium
173,1,6,24,0.32,22,0.59,83,2,Medium
116,1,1,13,0.41,16,3.13,19,2,Low
165,1,7,4,0.09,20,1.82,58,3,Medium
70,1,6,12,0.17,7,1.26,65,1,Medium
75,2,9,16,0.78,39,1.74,78,3,High
102,1,6,9,0.2,22,3.4,75,1,Medium
596,2,6,23,0.63,39,1.5,80,4,High
369,1,2,2,0.16,9,0.4,43,0,Medium
523,1,12,38,0.45,7,0.65,92,1,High
312,1,12,4,0.35,9,2.31,57,2,Medium
217,1,9,21,0.37,24,1.56,83,0,Medium
400,3,9,10,1.33,27,3.23,71,4,High
356,1,0,6,0.04,21,1.07,75,3,Low
40,1,9,13,0.37,12,2.81,49,0,Medium
62,1,11,10,0.35,18,3.31,17,2,Medium
445,2,5,20,0.49,18,2.86,63,5,Medium
538,2,2,36,0.82,30,1.08,83,1,High
427,1,11,19,0.07,25,0.31,81,3,High
621,1,9,21,0.42,21,1.07,80,0,Medium
548,1,11,5,0.12,12,0.89,19,5,High
383,1,4,14,0.13,4,1.53,21,5,Medium
41,1,7,27,0.44,15,2.03,56,2,Medium
599,1,7,37,0.3,23,1.09,65,0,High
74,1,5,17,0.43,4,1.5,56,1,Low
116,1,1,22,0.28,21,3.43,11,3,Low
208,2,6,11,0.25,29,1.02,32,3,High
607,2,11,35,0.44,26,1.34,20,0,High
442,2,7,10,0.25,8,1.8,45,5,High
531,1,0,14,0.09,11,3.72,68,0,Low
355,2,7,32,1.01,24,0.62,77,3,High
229,1,6,24,0.1,3,1.22,67,2,Medium
271,3,9,4,0.8,59,2.64,18,5,High
392,3,6,38,0.9,18,3.24,74,3,High
588,2,7,37,0.99,38,1.35,58,5,High
75,1,8,37,0.31,21,0.82,65,1,Medium
211,3,12,13,0.76,42,0.57,95,3,High
246,3,10,10,1.68,31,1.42,16,0,High
437,2,8,21,0.97,41,1.9,9,5,High
641,1,6,8,0.2,6,2.28,82,0,Medium
148,2,1,19,0.98,30,3.37,41,3,High
537,2,7,3,0.35,33,0.8,85,5,High
451,1,5,45,0.12,25,1.96,42,2,High
60,1,12,20,0.15,28,2.02,95,0,Medium
273,1,11,29,0.35,12,1.24,61,4,High
131,1,3,27,0.34,26,2.11,55,0,Medium
567,2,1,20,0.84,33,0.77,75,4,High
69,1,3,4,0.13,16,0.48,54,5,High
243,1,7,33,0.19,5,2.68,38,2,Medium
540,2,2,31,0.73,30,1.5,41,5,High
132,1,6,4,0.09,20,3.03,35,1,Medium
270,2,4,42,0.57,9,3.33,95,0,Medium
525,3,10,12,1.38,15,1.08,85,2,High
321,1,6,23,0.22,8,1.93,94,4,Medium
446,2,0,33,1.1,31,2.27,84,4,High
329,1,1,31,0.05,10,2.54,43,2,Low
345,1,8,16,0.41,27,3.3,84,3,High
367,2,11,2,0.79,26,1.21,61,3,High
437,2,9,37,0.93,29,2.84,36,5,High
587,2,7,43,0.52,27,3.26,92,4,High
225,1,7,9,0.34,25,3.13,31,5,High
383,2,3,23,0.4,27,1.77,50,2,Medium
306,2,7,8,0.62,45,2.33,87,0,High
523,3,8,8,1.73,39,2.15,60,0,High
194,1,3,22,0.2,20,3.42,66,1,Low
363,3,2,6,1.23,55,3.75,48,5,High
99,1,4,14,0.35,7,2.32,28,3,Medium
130,1,6,41,0.2,15,3.68,57,0,Medium
78,1,11,24,0.43,12,2.95,75,1,Medium
58,2,10,16,0.4,30,1.39,21,3,High
555,2,2,5,0.94,27,3.62,66,5,High
572,2,5,28,1.0,16,1.5,70,2,High
232,1,12,26,0.03,9,2.85,24,1,Medium
62,2,2,8,0.53,10,1.61,89,2,Low
587,2,9,4,0.8,9,0.47,22,3,High
494,1,8,17,0.22,6,1.02,95,5,High
49,1,10,7,0.3,10,2.48,25,3,Medium
147,1,9,8,0.14,27,0.67,33,4,High
244,2,8,13,0.52,34,1.33,13,4,High
548,3,11,31,1.03,15,0.34,19,0,High
627,2,2,6,0.9,12,2.83,20,2,Medium
276,1,4,17,0.22,5,3.15,13,2,Low
408,3,5,28,1.56,21,3.28,13,0,High
181,2,2,22,0.52,36,3.64,42,5,Medium
135,1,5,12,0.07,14,3.67,42,3,Medium
529,2,10,11,0.3,11,3.74,28,0,Medium
466,3,7,37,1.48,26,2.44,53,4,High
69,3,11,9,1.23,46,0.7,60,3,High
87,1,10,21,0.03,23,2.14,81,5,Medium
618,1,10,22,0.24,24,2.75,20,3,High
294,1,10,44,0.3,6,3.24,79,4,High
95,1,2,33,0.39,17,3.34,17,3,Medium
368,1,4,4,0.24,19,2.55,59,1,Low
120,1,12,37,0.21,17,1.86,23,3,High
58,1,6,3,0.26,2,3.19,85,4,Medium
351,3,8,14,1.45,44,3.63,54,0,High
268,3,5,36,1.6,53,1.96,92,2,High
503,1,12,43,0.12,12,1.54,89,2,High
600,1,11,7,0.04,7,2.02,60,0,Medium
300,2,3,8,1.04,33,1.05,32,5,High
386,1,6,3,0.42,28,2.65,23,3,High
508,2,8,9,1.07,8,2.16,14,4,High
483,3,7,33,1.62,73,0.92,82,1,High
171,1,10,39,0.28,12,2.06,57,3,High
294,1,5,19,0.21,6,0.78,85,5,Medium
564,1,11,36,0.39,24,2.88,78,5,High
262,1,9,19,0.32,23,0.76,91,1,Medium
555,1,10,21,0.33,26,1.53,69,4,High
624,3,11,27,1.48,72,3.24,44,3,High
53,1,0,25,0.08,23,0.5,42,1,Low
333,2,2,4,0.82,26,1.01,77,0,Medium
407,3,1,40,1.73,62,2.27,36,5,High
614,1,8,45,0.14,23,0.46,56,3,High
466,3,10,21,1.86,18,0.35,40,1,High
493,3,10,42,1.08,52,2.21,85,1,High
238,1,2,44,0.05,7,2.87,23,3,Medium
81,1,8,17,0.08,20,3.26,8,2,Medium
517,2,2,3,0.34,28,2.39,88,4,Medium
348,1,9,36,0.17,27,2.78,75,1,High
228,1,12,33,0.09,19,2.18,19,2,Medium
266,3,10,22,1.03,33,1.06,87,4,High
526,3,12,42,0.61,57,1.51,38,5,High
289,3,10,21,1.1,65,3.61,57,2,High
593,2,0,34,0.94,31,2.1,73,3,High
538,1,10,13,0.16,4,3.62,29,4,High
586,1,1,14,0.31,26,1.05,95,3,Medium
146,1,11,28,0.3,4,2.91,27,0,Medium
510,2,0,6,0.27,19,3.08,79,0,Low
628,3,4,27,1.1,55,1.72,48,0,High
438,2,8,1,0.78,12,2.95,82,0,Medium
114,1,8,7,0.14,23,1.35,19,2,Medium
488,1,10,2,0.22,19,1.07,58,4,High
342,3,2,20,1.48,73,3.68,90,2,High
51,2,8,10,0.31,8,2.3,58,4,Medium
600,3,4,14,1.57,72,2.84,35,3,High
564,1,2,15,0.29,10,0.98,31,5,Medium
620,3,12,36,1.2,50,0.56,93,0,High
296,1,11,38,0.23,12,1.55,93,5,High
280,1,9,5,0.41,12,2.0,50,4,Medium
353,2,2,37,0.71,28,3.66,29,0,Medium
360,1,3,42,0.21,28,1.56,94,5,High
379,3,7,29,1.07,34,2.0,21,1,High
123,3,2,35,0.86,61,3.4,17,5,High
117,3,8,41,0.64,52,2.33,83,1,High
77,2,8,35,0.62,17,1.58,36,4,High
337,1,8,33,0.06,13,2.06,92,1,Medium
209,2,2,29,0.34,44,3.62,92,1,Medium
535,3,0,15,1.59,29,0.52,55,1,High
83,2,8,24,0.55,37,3.39,13,5,High
371,1,8,41,0.38,28,2.9,82,4,High
623,1,10,25,0.18,22,3.44,17,4,High
297,1,3,34,0.19,28,3.34,70,3,High
46,1,2,29,0.09,4,2.1,43,1,Low
193,1,5,39,0.33,5,2.61,61,2,Medium
156,1,7,31,0.11,7,2.57,60,0,Medium
289,1,9,38,0.09,22,2.09,81,1,Medium
97,1,2,34,0.43,21,3.69,89,0,Low
330,3,3,29,1.39,45,3.34,29,1,High
460,2,12,38,0.94,19,2.48,73,2,High
211,2,5,30,0.74,12,1.1,57,1,Medium
151,1,8,33,0.31,28,0.82,20,1,High
527,3,9,3,1.74,49,2.06,23,0,High
533,2,9,35,0.94,35,2.13,55,0,High
582,1,12,31,0.36,14,1.53,81,0,High
475,1,7,15,0.41,4,1.29,77,3,High
303,1,11,1,0.27,5,2.12,56,5,Medium
250,2,5,27,0.53,17,1.79,82,2,Medium
