depth_m,gassiness_degree,open_violations,days_since_last_inspection,ch4_pct,co_ppm,o2_pct,ventilation_velocity_ms,workers_count,equipment_faults,strata_stress_mpa,temp_c,humidity_pct,grahams_ratio,gas_dispersion_index,inspection_risk_factor,risk_level
527,2,3,49,0.78,18,20.2,2.98,46,2,37.62,25.7,57.1,2.571,0.262,28.0,Medium
78,3,2,27,1.99,47,20.5,0.33,32,0,19.84,35.0,68.9,11.75,6.03,11.57,High
621,2,5,19,0.99,33,19.8,3.29,68,5,44.05,29.1,72.3,3.0,0.301,16.29,High
378,1,7,42,0.23,8,20.4,3.47,42,5,34.43,24.4,80.8,1.6,0.066,48.0,Medium
455,3,8,21,0.88,41,18.5,1.72,21,3,20.75,30.7,61.5,1.708,0.512,27.0,High
497,2,5,20,0.35,11,20.1,0.89,84,5,27.05,29.4,64.2,1.375,0.393,17.14,Medium
554,3,11,50,1.41,38,20.7,2.07,49,5,26.93,23.5,87.1,19.0,0.681,85.71,High
505,2,9,24,0.8,17,20.5,2.82,63,5,31.53,29.1,71.5,4.25,0.284,34.29,Medium
650,3,1,34,0.41,74,19.0,2.29,67,4,35.79,31.1,57.7,3.895,0.179,9.71,High
208,1,8,29,0.21,3,20.6,2.2,24,5,13.38,24.7,75.4,1.0,0.095,37.29,Medium
507,2,8,30,0.88,8,19.5,1.57,96,2,38.27,31.4,68.9,0.571,0.561,38.57,Medium
105,2,0,5,0.77,30,20.0,3.6,70,0,11.88,25.7,61.3,3.333,0.214,0.71,Medium
499,3,6,25,1.85,25,18.9,2.29,20,5,21.67,34.5,85.6,1.25,0.808,25.0,High
581,1,3,1,0.16,9,20.4,1.58,12,2,30.7,28.0,80.2,1.8,0.101,0.57,Low
322,1,11,49,0.35,2,20.4,0.55,24,0,32.44,32.5,69.7,0.4,0.636,84.0,Medium
648,1,9,44,0.22,3,20.4,3.98,100,0,32.74,25.2,56.5,0.6,0.055,62.86,Medium
279,3,11,37,0.84,28,20.8,2.23,50,4,20.67,29.8,78.5,14.0,0.377,63.43,High
463,1,0,36,0.2,13,20.9,2.78,85,5,27.83,33.9,76.9,6.5,0.072,5.14,Low
577,1,6,27,0.34,11,20.8,0.83,29,2,31.79,26.9,81.4,5.5,0.41,27.0,Medium
514,3,8,27,0.89,20,20.6,3.43,63,4,24.97,28.9,68.6,6.667,0.259,34.71,Medium
134,2,3,4,0.3,39,19.7,1.07,44,3,30.32,30.8,76.1,3.25,0.28,2.29,Medium
380,1,0,14,0.1,8,20.5,1.19,34,5,26.99,23.5,90.0,2.0,0.084,2.0,Low
369,2,6,30,0.62,10,20.6,2.97,78,5,27.53,26.7,64.2,3.333,0.209,30.0,Medium
367,3,5,21,0.77,63,19.2,1.03,62,0,18.68,29.3,62.7,3.706,0.748,18.0,High
275,1,3,32,0.2,17,20.6,3.01,80,5,31.2,34.3,66.8,5.667,0.066,18.29,Low
400,1,11,35,0.03,3,20.8,0.58,72,1,31.4,33.9,74.0,1.5,0.052,60.0,Medium
89,2,6,9,0.58,7,20.3,2.77,90,1,13.47,22.9,60.3,1.167,0.209,9.0,Medium
671,3,10,32,1.6,46,18.5,3.31,12,0,23.18,28.9,69.4,1.917,0.483,50.29,High
480,3,2,7,1.77,44,20.3,0.59,22,4,30.63,23.9,61.7,7.333,3.0,3.0,High
455,2,3,45,1.0,6,19.5,1.7,38,2,33.06,30.9,84.7,0.429,0.588,25.71,Medium
605,2,10,1,0.45,10,20.7,3.7,99,1,36.6,23.1,84.6,5.0,0.122,1.57,Medium
275,1,11,37,0.36,20,20.7,0.96,70,2,35.09,22.6,57.6,10.0,0.375,63.43,Medium
362,1,3,38,0.23,20,20.8,1.74,28,5,22.23,32.7,87.5,10.0,0.132,21.71,Medium
593,1,12,48,0.03,15,20.4,0.58,27,5,44.21,31.4,72.5,3.0,0.052,89.14,Medium
659,2,9,26,0.34,39,20.8,1.9,51,0,33.29,30.2,82.4,19.5,0.179,37.14,Medium
639,2,1,50,0.26,13,20.5,1.47,89,2,23.94,32.4,80.0,3.25,0.177,14.29,Low
149,1,4,29,0.23,18,20.5,0.4,56,2,20.07,23.3,58.1,4.5,0.575,20.71,Medium
402,2,9,39,0.86,39,20.8,3.92,51,3,34.75,22.2,69.5,19.5,0.219,55.71,High
625,2,10,25,0.28,21,20.0,2.09,31,1,25.13,25.5,64.4,2.333,0.134,39.29,Medium
118,1,3,47,0.13,14,20.5,2.59,90,3,11.52,29.7,61.8,3.5,0.05,26.86,Low
377,1,6,42,0.2,7,20.9,3.88,86,1,32.11,25.9,76.1,3.5,0.052,42.0,Medium
338,2,10,32,0.48,40,19.7,3.99,83,1,33.31,26.2,64.8,3.333,0.12,50.29,Medium
224,2,8,2,0.17,30,20.4,0.81,69,5,31.55,24.7,82.9,6.0,0.21,2.57,Medium
350,1,10,10,0.17,18,20.9,3.52,64,3,26.25,23.0,89.7,9.0,0.048,15.71,Medium
468,2,12,24,0.36,26,19.6,2.57,99,4,20.32,29.7,87.0,2.0,0.14,44.57,Medium
616,3,10,42,0.77,75,20.2,2.36,61,2,21.65,34.6,70.1,10.714,0.326,66.0,High
629,1,5,26,0.02,5,20.5,3.71,69,5,30.0,29.7,72.5,1.25,0.005,22.29,Medium
127,1,11,10,0.15,5,20.6,2.88,54,2,21.68,26.5,82.4,1.667,0.052,17.14,Medium
366,1,0,46,0.07,9,20.6,2.34,24,0,31.4,33.0,77.7,3.0,0.03,6.57,Low
378,2,7,15,0.13,16,20.1,1.89,61,5,25.82,24.4,77.4,2.0,0.069,17.14,Medium
44,2,3,18,0.48,16,20.1,1.27,100,0,19.99,29.5,83.0,2.0,0.378,10.29,Medium
541,2,10,21,0.99,15,20.6,2.91,86,3,27.88,29.9,75.5,5.0,0.34,33.0,Medium
344,3,9,6,0.97,28,19.7,1.85,96,1,17.41,26.1,63.4,2.333,0.524,8.57,High
181,2,6,12,0.28,14,20.1,0.82,72,5,32.86,29.0,87.2,1.75,0.341,12.0,Medium
362,3,9,4,1.31,73,19.4,2.12,55,0,24.26,28.3,61.8,4.867,0.618,5.71,High
494,2,1,37,0.28,33,20.2,3.16,13,1,31.25,25.8,64.6,4.714,0.089,10.57,Medium
547,2,1,37,0.96,6,20.5,1.93,24,2,28.48,32.1,83.8,1.5,0.497,10.57,Medium
263,3,1,48,0.93,21,19.5,3.98,93,1,23.37,25.9,90.0,1.5,0.234,13.71,Medium
282,1,11,38,0.25,8,20.8,3.28,98,2,23.33,33.2,76.4,4.0,0.076,65.14,Medium
623,1,4,39,0.11,18,20.9,2.81,78,1,28.52,26.2,79.6,9.0,0.039,27.86,Medium
137,1,12,27,0.11,12,20.8,3.12,17,2,30.21,33.3,59.4,6.0,0.035,50.14,Medium
442,2,9,41,1.02,9,20.0,3.07,44,5,32.26,27.4,70.8,1.0,0.332,58.57,Medium
417,2,7,21,1.12,26,20.7,3.24,84,0,18.66,33.3,84.7,13.0,0.346,24.0,High
447,1,6,14,0.06,17,20.8,3.61,73,2,30.31,26.2,64.9,8.5,0.017,14.0,Medium
89,1,10,30,0.4,15,20.4,2.85,12,0,19.18,34.1,60.5,3.0,0.14,47.14,Medium
175,3,4,11,1.93,31,18.6,2.61,45,0,19.3,30.5,63.8,1.348,0.739,7.86,High
279,1,1,46,0.21,16,20.3,2.87,22,0,27.22,24.8,57.7,2.667,0.073,13.14,Low
163,3,6,45,0.48,50,19.3,1.41,26,3,27.61,22.9,68.4,3.125,0.34,45.0,High
431,2,12,9,0.78,32,19.9,1.09,92,5,16.98,23.9,73.6,3.2,0.716,16.71,High
195,3,9,44,1.36,59,19.3,1.89,66,1,28.93,23.1,58.5,3.688,0.72,62.86,High
183,1,10,6,0.38,2,20.8,2.74,41,4,17.41,29.8,80.2,1.0,0.139,9.43,Medium
348,1,9,33,0.32,9,20.6,0.72,34,5,33.51,27.1,77.6,3.0,0.444,47.14,Medium
551,2,1,34,0.7,27,20.2,0.94,11,2,40.43,34.1,59.6,3.857,0.745,9.71,Medium
522,3,12,5,0.41,60,19.7,2.63,12,4,20.01,22.9,64.2,5.0,0.156,9.29,High
553,2,6,45,0.19,9,20.2,1.05,61,0,23.49,30.3,73.8,1.286,0.181,45.0,Medium
199,2,6,38,0.87,19,19.5,0.62,91,5,27.74,30.9,57.3,1.357,1.403,38.0,Medium
484,1,9,39,0.01,6,20.7,0.91,17,2,22.32,30.7,78.0,3.0,0.011,55.71,Medium
395,2,12,47,0.87,11,20.6,0.41,43,1,36.84,26.8,81.2,3.667,2.122,87.29,High
479,1,1,17,0.2,20,20.4,0.88,83,5,26.62,23.0,70.9,4.0,0.227,4.86,Medium
145,3,10,47,0.32,15,19.6,1.72,24,1,30.23,31.6,55.1,1.154,0.186,73.86,Medium
193,1,0,36,0.13,4,20.6,0.74,93,3,32.81,24.9,63.7,1.333,0.176,5.14,Medium
93,1,12,34,0.34,12,20.4,1.99,15,3,15.1,22.9,71.3,2.4,0.171,63.14,Medium
417,1,9,20,0.31,8,20.7,2.32,89,1,28.27,28.0,75.7,4.0,0.134,28.57,Medium
291,1,6,2,0.38,2,20.8,1.69,39,4,34.33,26.5,84.4,1.0,0.225,2.0,Medium
354,1,8,16,0.12,3,20.9,3.62,63,3,18.27,34.5,89.0,1.5,0.033,20.57,Medium
572,1,5,30,0.04,20,20.3,2.75,20,4,39.98,23.2,59.7,3.333,0.015,25.71,Medium
173,1,4,21,0.1,8,20.4,3.15,60,5,21.19,32.8,66.4,1.6,0.032,15.0,Medium
151,1,2,29,0.09,11,20.6,3.45,69,2,32.93,27.3,73.8,3.667,0.026,12.43,Low
132,1,10,20,0.07,9,20.9,1.77,100,5,29.86,29.8,62.5,4.5,0.04,31.43,Medium
90,2,4,12,0.2,10,20.6,0.82,13,3,21.45,33.1,74.5,3.333,0.244,8.57,Medium
52,1,12,15,0.26,20,20.7,3.69,26,1,22.43,32.7,68.0,10.0,0.07,27.86,Medium
116,1,1,13,0.33,5,20.3,2.01,92,3,29.23,32.5,58.2,0.833,0.164,3.71,Low
212,3,6,47,0.69,33,19.1,1.95,60,3,15.45,22.4,78.9,1.833,0.354,47.0,Medium
192,1,9,40,0.03,10,20.5,1.85,41,5,24.02,25.8,69.4,2.5,0.016,57.14,Medium
578,1,12,35,0.2,20,20.6,1.74,12,3,33.52,32.2,67.6,6.667,0.115,65.0,Medium
224,1,9,15,0.31,9,20.9,0.67,13,2,24.31,22.8,89.7,4.5,0.463,21.43,Medium
286,1,12,48,0.37,7,20.4,2.49,17,1,22.47,29.5,89.4,1.4,0.149,89.14,Medium
